Method	Short.Name	Marker	PCR.Efficiency	Stutter.Probability	Stutter.Max.Size	Stutter.Type.Repeat	Stutter.Type.Bp	Stutter.Intercept	Stutter.Slope	Stutter.Sigma	T.Intercept	T.Slope	T.Sigma	Scaling.Intercept	Scaling.Slope	Scaling.Sigma
Default	ESX17	AMEL	0.889	0	0	-1	0	0	0	0	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D3S1358	0.889	0.0025	Inf	-1	-4	-0.2199151	0.0024202	0.01604	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	TH01	0.89	0.001	Inf	-1	-4	-0.088435	0.0006993	0.009621	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D21S11	0.876	0.0021	Inf	-1	-4	-0.2098863	0.0013045	0.01526	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D18S51	0.876	0.002	Inf	-1	-4	-4.59E-01	1.70E-03	0.009391	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D10S1248	0.875	0.002	Inf	-1	-4	-0.1769667	0.0026478	0.01026	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D1S1656	0.89	0.002	Inf	-1	-4	-3.53E-01	2.98E-03	0.00992	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D2S1338	0.889	0.002	235	-1	-4	-0.4290951	0.0022377	0.01087	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D2S1338	0.889	0.002	Inf	-1	-4	-0.4607095	0.0022339	0.01382	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D16S539	0.889	0.002	Inf	-1	-4	-0.8968363	0.003236	0.01204	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D22S1045	0.875	0.003	Inf	-1	-3	-0.5320733	0.0062343	0.01836	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	vWA	0.876	0.002	Inf	-1	-4	-0.2912396	0.0024224	0.01713	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D8S1179	0.889	0.002	Inf	-1	-4	-0.3811253	0.0019868	0.01124	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D8S1179	0.889	0.002	225	-1	-4	-0.3909768	0.0019528	0.01523	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	FGA	0.889	0.002	Inf	-1	-4	-4.76E-01	1.85E-03	0.0113	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D2S441	0.961	0.002	105	-1	-4	-0.512393	0.005765	0.01309	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D2S441	0.961	0.002	Inf	-1	-4	-0.113183	0.0014434	0.009914	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D12S391	0.897	0.002	Inf	-1	-4	-3.05E-01	2.59E-03	0.01116	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	D19S433	0.919	0.002	Inf	-1	-4	-0.5305	0.0026499	0.01125	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	SE33	0.897	0.002	335	-1	-4	-0.511945	0.0018564	0.02014	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	SE33	0.897	0.002	Inf	-1	-4	-0.4957003	0.001647	0.03149	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Default	ESX17	SE33	0.897	0.002	Inf	-0.2	-2	6.71E-02	-5.49E-05	0.008846	12.1317	0.9047	0.5951	-8.8867	0.859	0.5798
Tutorial1	SGMPlus	D3S1358	0.945	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-16.9616	1.1711	0.1696
Tutorial1	SGMPlus	vWA	0.959	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-16.9616	1.1711	0.1696
Tutorial1	SGMPlus	D16S539	0.965	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-16.9616	1.1711	0.1696
Tutorial1	SGMPlus	D2S1338	0.931	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-16.9616	1.1711	0.1696
